,#,Name,Country,Latitude,Longitude
7,368,Gisors,France,49.278950399623554,1.7778259999999997
8,369,Givors,France,45.58442380040199,4.7696529
9,370,Gonesse,France,48.98635549969571,2.4500537
10,371,Gourdon,France,44.7370240004912,1.3820574999999997
11,372,Goussainville,France,49.03231679968433,2.4733628
12,373,Gradignan,France,44.77397010048825,-0.6139069999999999
13,374,Grande-Synthe,France,51.01348129924714,2.3029972
14,375,Granville,France,48.83762839973261,-1.5959213
15,376,Grasse,France,43.65890110054058,6.923910299999999
16,377,Graulhet,France,43.75780000053901,1.99723
17,378,Gravelines,France,50.987069699251684,2.1273117999999998
18,379,Gray,France,47.4455642000658,5.5919867
19,380,Grigny,France,48.655885999777674,2.3860487999999997
0,381,Gros-Morne,France,14.70995899987302,-61.00601069999999
1,382,Guérande,France,47.3282126000917,-2.4298013999999997
2,383,Guéret,France,46.16868650031556,1.8713349
3,384,Guidel,France,47.789422599987375,-3.4914954999999996
4,385,Guilherand-Granges,France,44.93254500047454,4.870827499999999
5,386,Guillestre,France,44.66166170049701,6.649772699999999
6,387,Guingamp,France,48.561848299800914,-3.1502006999999996
7,388,Guipavas,France,48.434636599832274,-4.400979000000001
8,389,Gujan-Mestras,France,44.63386020049904,-1.0845304
9,390,Guyancourt,France,48.77094139974913,2.0706084
10,391,Hagondange,France,49.25403129962963,6.1678213
11,392,Halluin,France,50.78266929928867,3.1249233999999997
12,393,Harnes,France,50.447409999354925,2.9068246
13,394,Haubourdin,France,50.60935539932211,2.9864420999999997
14,395,Hautmont,France,50.251370399396485,3.9200610999999994
15,396,Hayange,France,49.330435299610926,6.0636733
16,397,Hazebrouck,France,50.72261129930004,2.5360331
17,398,Hellemmes,France,50.62745279931855,3.1092154
18,399,Hem,France,50.6540894993133,3.1839428999999995
19,400,Hendaye,France,43.36415180054185,-1.7616499
0,401,Hénin-Beaumont,France,50.41943079936076,2.9469926
1,402,Hennebont,France,47.80572239998357,-3.2751147
2,403,Herblay-sur-Seine,France,48.989858799694865,2.166162
3,404,Héricourt,France,47.57514290003669,6.762531199999999
4,405,Hérouville-Saint-Clair,France,49.203109699642155,-0.3353513
5,406,Hirson,France,49.92034189947051,4.083718599999999
6,407,Honfleur,France,49.419722199589195,0.2338889
7,408,Houilles,France,48.922941599711436,2.1868998
8,409,Hyères,France,43.120257300539116,6.1301614
9,410,Ifs,France,49.141239299657414,-0.3506968999999999
10,411,Igny,France,48.74239609975623,2.2257833
11,412,Irun,France,43.336597401141404,-1.793361775204818
12,413,Issoire,France,45.54329730040733,3.2502212999999998
13,414,Issoudun,France,46.94778260017191,1.9889131000000002
14,415,Issy-les-Moulineaux,France,48.82505079973571,2.2734569999999996
15,416,Istres,France,43.513905100541834,4.9884323
16,417,Ivry-sur-Seine,France,48.8122301997389,2.3872524999999998
17,418,Jarny,France,49.15695859965354,5.8821708
18,419,Jarville-la-Malgrange,France,48.673537499773275,6.2023462
19,420,Jeumont,France,50.297101199386624,4.0996569
0,421,Joigny,France,47.98124859994215,3.3995767000000003
1,422,Joinville,France,48.44332529983015,5.1377537
2,423,Joinville-le-Pont,France,48.81837169973739,2.4668076999999995
3,424,Jonzac,France,45.445446900419626,-0.43209839999999994
4,425,Joué-lès-Tours,France,47.35109050008669,0.6622523999999999
5,426,Jouy-le-Moutier,France,49.011599999689466,2.03194
6,427,Juvignac,France,43.61407840054109,3.8101646000000002
7,428,Juvisy-sur-Orge,France,48.69040629976911,2.3738089999999996
8,429,Kani-Kéli,France,-12.956496100207309,45.1054296
9,430,Kawéni,France,-12.772728000189415,45.224798899999996
10,431,Koungou,France,-12.735753000185786,45.2067459
11,432,Kourou,France,5.158119699495606,-52.64263
12,433,La,Baule-Escoublac,France,47.284372600101236
13,434,La,Celle-Saint-Cloud,France,48.84787529973004
14,435,La,Chapelle-Saint-Luc,France,48.31854779986071
15,436,La,Chapelle-Saint-Mesmin,France,47.88698219996449
16,437,La,Chapelle-sur-Erdre,France,47.29968460009792
17,438,La,Châtre,France,46.58156780024317
18,439,La,Ciotat,France,43.175859100540045
19,440,La,Courneuve,France,48.92672359971051
0,441,La,Crau,France,43.149703400539636
1,442,La,Ferté-Bernard,France,48.18605759989295
2,443,La,Flèche,France,47.696840800008836
3,444,La,Garde,France,43.1249185005392
4,445,La,Garenne-Colombes,France,48.9069348997154
5,446,Lagny-sur-Marne,France,48.877301799722765,2.7056056
6,447,L'Aigle,France,48.76517129975056,0.6278039
7,448,La,Londe-les-Maures,France,43.13813130053943
8,449,La,Madeleine,France,50.65440099931325
9,450,Lamballe,France,48.468805799823855,-2.5174410999999997
10,451,Lambersart,France,50.64779239931453,3.0223644
11,452,Lamentin,France,16.27034230005536,-61.6303025
12,453,La,Motte-Servolex,France,45.598411300400166
13,454,Landerneau,France,48.45148029982812,-4.255790099999999
14,455,Landivisiau,France,48.512755099813035,-4.0699356
15,456,Lanester,France,47.76397259999331,-3.3444488999999997
16,457,La,Neuville-sur-Ressons,France,49.54994676089836
17,458,Langon,France,44.55306590050471,-0.24492740000000002
18,459,Langres,France,47.86556379996953,5.3314162
